		(Col("Capacitance")/1.818)	Col("Capacitance_new")/2.5
Angle	Capacitance	Capacitance_new	
deg	pF	pF	
		Dielectric const=1.818	
7	167.03	91.8756875687569	36.7502750275028
7.25	164.24	90.3410341034103	36.1364136413641
7.5	161.37	88.7623762376238	35.5049504950495
7.75	158.47	87.1672167216722	34.8668866886689
8	155.18	85.3575357535754	34.1430143014301
8.25	153.15	84.2409240924092	33.6963696369637
8.5	149.97	82.4917491749175	32.996699669967
8.75	148.09	81.4576457645765	32.5830583058306
9	145.16	79.8459845984598	31.9383938393839
9.25	142.75	78.5203520352035	31.4081408140814
9.5	139.91	76.958195819582	30.7832783278328
9.75	136.98	75.3465346534653	30.1386138613861
10	134.57	74.020902090209	29.6083608360836
10.25	132.8	73.047304730473	29.2189218921892
10.5	129.05	70.984598459846	28.3938393839384
10.75	126.2	69.4169416941694	27.7667766776678
11	123.46	67.9097909790979	27.1639163916392
11.25	120.73	66.4081408140814	26.5632563256326
11.5	116.65	64.1639163916392	25.6655665566557
11.75	113.27	62.3047304730473	24.9218921892189
12	110.9	61.001100110011	24.4004400440044
12.25	108.74	59.8129812981298	23.9251925192519
12.5	105.45	58.003300330033	23.2013201320132
12.75	101.71	55.9460946094609	22.3784378437844
13	99.22	54.5764576457646	21.8305830583058
13.25	96.02	52.8162816281628	21.1265126512651
13.5	91.83	50.5115511551155	20.2046204620462
13.75	87.92	48.3608360836084	19.3443344334433
14	85.42	46.985698569857	18.7942794279428
14.25	83.4	45.8745874587459	18.3498349834984
14.5	80.3	44.1694169416942	17.6677667766777
14.75	77.35	42.5467546754675	17.018701870187
15	75.97	41.7876787678768	16.7150715071507
15.25	72.07	39.6424642464246	15.8569856985699
15.5	68.01	37.4092409240924	14.963696369637
15.75	65.75	36.1661166116612	14.4664466446645
16	62.97	34.6369636963696	13.8547854785479
